,Headline,Source,Date,Word Count,Company,neutral,weakneg,weakpos,strongpos,strongneg
247,"Dropbox sales, profit top estimates in first report after IPO",San Francisco Chronicle: Web Edition,5/10/2018,416,Dropbox,0,0,3,0,0
248,Dropbox seeking to raise $500M in IPO,The Times Reporter,2/25/2018,147,Dropbox,0,0,0,0,0
249,Dropbox Seeks More Paying Customers Before Expected Ipo,National Post,10/18/2017,176,Dropbox,0,0,0,0,0
250,Dropbox seeks to hire IPO underwriters: Reuters,PE Hub Network,7/3/2017,453,Dropbox,0,0,0,0,0
251,Dropbox sees IPO price between $16 and $18 per share,Reuters News,3/12/2018,248,Dropbox,0,0,0,0,0
252,Dropbox sees IPO price between $16 and $18 per share: Reuters,PE Hub Network,3/12/2018,300,Dropbox,0,0,0,0,0
253,Dropbox sells 5.4 mln more shares at IPO price,Telecompaper World,4/4/2018,130,Dropbox,0,0,0,0,0
254,Dropbox set for valuation near $7.5bn ahead of IPO,Financial Times,3/13/2018,64,Dropbox,0,0,0,0,0
255,Dropbox set for valuation near $7.5bn ahead of IPO,Financial Times,3/13/2018,64,Dropbox,0,0,0,0,0
256,Dropbox sets IPO price at $21 a share,Financial Times (FT.Com),3/22/2018,273,Dropbox,0,0,0,0,0
257,Dropbox sets IPO price at USD 21 per share,Telecompaper World,3/23/2018,105,Dropbox,0,0,0,0,0
258,"Dropbox sets IPO price range, to sell stake to Salesforce",National Iraqi News Agency,3/13/2018,182,Dropbox,0,2,0,0,0
259,"Dropbox sets IPO price range, to sell stake to Salesforce",Telecompaper World,3/12/2018,182,Dropbox,0,2,0,0,0
260,"Dropbox sets IPO range, hopes to raise USD 648m",Spanish Collection,3/13/2018,111,Dropbox,0,0,0,2,0
261,Dropbox Sets IPO Target Valuation at $7 Billion to $8 Billion,Dow Jones Newswires Chinese (English),3/12/2018,449,Dropbox,0,0,0,0,0
262,Dropbox Sets IPO Target Valuation at $7 Billion to $8 Billion,Dow Jones Institutional News,3/12/2018,454,Dropbox,0,0,0,0,0
263,Dropbox Sets IPO Target Valuation at $7 Billion to $8 Billion -- Update,Dow Jones Institutional News,3/12/2018,749,Dropbox,0,0,0,0,0
